INFO 2026-04-21 12:56:50,288 autoreload 31916 32168 Watching for file changes with StatReloader
WARNING 2026-04-21 13:47:50,282 log 28652 14560 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2026-04-21 13:47:50,282 log 28652 29580 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2026-04-21 13:47:50,283 log 28652 28660 Not Found: /static/rest_framework/js/default.js
WARNING 2026-04-21 13:47:50,284 log 28652 288 Not Found: /static/rest_framework/js/load-ajax-form.js
WARNING 2026-04-21 13:47:50,284 basehttp 28652 14560 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,285 basehttp 28652 29580 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,285 basehttp 28652 28660 "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,286 basehttp 28652 288 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,289 log 28652 29320 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2026-04-21 13:47:50,289 log 28652 27388 Not Found: /static/rest_framework/js/csrf.js
WARNING 2026-04-21 13:47:50,290 log 28652 5128 Not Found: /static/rest_framework/js/jquery-3.7.1.min.js
WARNING 2026-04-21 13:47:50,290 basehttp 28652 29320 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,290 basehttp 28652 27388 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,291 basehttp 28652 5128 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,292 log 28652 23656 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2026-04-21 13:47:50,293 log 28652 6612 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2026-04-21 13:47:50,293 log 28652 27356 Not Found: /static/rest_framework/js/default.js
WARNING 2026-04-21 13:47:50,294 log 28652 27388 Not Found: /static/rest_framework/js/load-ajax-form.js
WARNING 2026-04-21 13:47:50,294 basehttp 28652 6612 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,294 basehttp 28652 23656 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,295 basehttp 28652 27388 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,295 basehttp 28652 27356 "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
